UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage,Event Source,Event Souce ID,District_LGD_Codes,State_Codes
UEI-IMD-FL-2005-0067,2005-03-15,2005-03-15,1.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,,,,,,"Damage to agriculture in Vellaroda, Chamavalla,Mundandri reported",IMD,,565,32
UEI-IMD-FL-2005-0068,2005-04-04,2005-04-04,1.0,heavy rains,,Southern parts,Kerala,,,,,,,,,,(i)Low lying areas flooded (ii)Vehicular traffic disrupted,IMD,,,32
UEI-IMD-FL-2005-0069,2005-04-06,2005-04-06,1.0,heavy rains,,"Thiruvananthapuram,Wayanad",Kerala,,,,,,2.0,,,2 women injured in house collapse in Elakaman in Varkala taluk,"1 bridge collapsed in Papanasam in Varkala taluk,1 building damaged in Sultanbattery",IMD,,"565, 567",32
UEI-IMD-FL-2005-0070,2005-04-12,2005-04-12,1.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,,,,,,"In Kilimanoor:(i)Many rubber trees uprooted (ii)Damage to plantain,other agricultural property reported (iii) 1 house collapsed",IMD,,565,32
UEI-IMD-FL-2005-0071,2005-04-15,2005-04-28,14.0,heavy rains,,"Thiruvananthapuram,Wayanad",Kerala,,,,,2.0,2.0,,,,"(i)2000 plantains damaged (ii)Damage to rubber,other agricultural property reported (iii)Damage to hundreds of houses reported in Kattakkada (iv)Electric/telephone lines disrupted",IMD,,"565, 567",32
UEI-IMD-FL-2005-0072,2005-05-02,2005-05-02,1.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,In Sultan Battery:(i)Many trees uprooted (ii)Vehicular traffic disrupted (iii)Telephone lines disrupted (iv)1 house completely damaged in Ambalavayal,IMD,,567,32
UEI-IMD-FL-2005-0073,2005-05-17,2005-05-17,1.0,moderate flood,,Thiruvananthapuram,Kerala,,,,,,,,,,(i)100 houses completely flooded (ii)10 houses collapsed due to sea erosion,IMD,,565,32
UEI-IMD-FL-2005-0074,2005-05-29,2005-05-29,1.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,Widespread damage to plantain in Sultanbattery reported,IMD,,567,32
UEI-IMD-FL-2005-0075,2005-06-01,2005-06-14,14.0,heavy rains,,"Kollam, Thiruvananthapuram,Wayanad",Kerala,,,,,2.0,,,,2 persons died,In Pulpalli:(i)19 houses collapsed (ii)Damage to agriculture reported (iii)Electric supply disrupted due to uprooting trees in Kalpetta,IMD,,"559, 565, 567",32
UEI-IMD-FL-2005-0076,2005-06-15,2005-06-28,14.0,heavy rains,,"Alappuzha, Ernakulam, Kannur, Kasaragod, Kollam, Kottayam, Palakkad,Thiruvananthapuram",Kerala,,,,,7.0,,,,7 persons including 1 woman died,(i)Widespread damage to plantain in Mancompu reported (ii)130 houses completely damaged (iii)166 families shifted to relief camp,IMD,,"554, 555, 557, 558, 559, 560, 563, 565",32
