UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage,Event Source,Event Souce ID,District_LGD_Codes,State_Codes
UEI-IMD-FL-2012-0053,2012-08-04,2012-08-08,5.0,heavy rains,,"Kannur, Kozhikode,Wayanad",Kerala,,,,,14.0,3.0,,,"14 persons died,3 others missing.","i)Extensive damage to several houses, shops, school buldings, Govt. offices,hospitals in the Iritty town of Kannur reported. ii) About 300 houses inundated in Kannur. iii) 2 pumping stations of Kerala Water Authority flooded causing damage to crops. iv) Total loss worth about 3 crores rupees estimated excluding damage to crops.v) Number of houses completely/partially damaged,about 100 persons shifted to safer places. vi) Disruption in traffic,power supply  reported. vii) 2 bridges connecting the region to Kuttiyadi,Mananthavady submerged.",IMD,,"557, 561, 567",32
UEI-IMD-FL-2012-0054,2012-11-17,2012-11-18,2.0,heavy rains,,"Ernakulam, Idukki, Kottayam, Pathanamthitta,Thiruvananthapuram",Kerala,,,,,5.0,5.0,,,"5 persons died, 2 others missing,3 others injured.","i)Landslide reported. ii) Few houses washed away. iii) Extensive damage to rubber trees,standing crops of banana, coconut, coffee,areca nut on 6 hectares of area affected. iv) Extensive loss to property,agricultural department reported.",IMD,,"555, 556, 560, 564, 565",32
UEI-IMD-FL-2012-0055,2012-09-04,2012-09-04,1.0,heavy rains,,Kollam,Kerala,,,,,,,,,,"i)About 20 houses partially damaged. ii)Power supply disrupted as trees uprooted. iii) Houses on the banks flooded. iv) Fibre boat damaged. v)Loss worth Rs. 88,468 estimated.",IMD,,559,32
UEI-IMD-FL-2012-0056,2012-11-01,2012-11-01,1.0,heavy rains,,"Ernakulam, Kollam,Thiruvananthapuram",Kerala,,,,,,,,,,"i) About 40 houses partially damaged. ii) Loss of Agricultural property reported. iii) Many trees uprooted causing disruption in power/telecommunication services. iv) Several low lying areas,roads inundated affecting normal life. v) Damage to property worth Rs. 7.5 lakhs reported.",IMD,,"555, 559, 565",32
UEI-IMD-FL-2012-0057,2012-11-11,2012-11-11,1.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,,,,,,"i)Hundreds of rubber trees uprooted. ii)Low lying areas inundated. iii) Number of trees uprooted causing disruption in road/power/ telecommunication services. v) 33 KV substation damaged. vi) Thampanoor railway station, bus stand, KSRTC garage flooded.",IMD,,565,32
UEI-IMD-FL-2013-0061,2013-03-09,2013-03-09,1.0,heavy rains,,Wayanad,Kerala,,,,,,,,4500,,"i) Around 10,000 banana, coconut, arecanut plantations damaged. ii) Damage to crops worth lakhs rupees reported.",IMD,,567,32
UEI-IMD-FL-2013-0062,2013-03-12,2013-03-12,1.0,heavy rains,,Kannur,Kerala,,,,,,,,,"About 4,500 hens perished.",Damage to farm equipments of worth 12 lakhs rupees reported.,IMD,,557,32
UEI-IMD-FL-2013-0063,2013-03-26,2013-03-26,1.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,,,,,,"i) Low lying areas submerged. ii) Number of electric poles/trees uprooted causing traffic,vehicular disruption. iii) Heavy damage to Govt. Ayurveda Hospital,post office buildings reported.",IMD,,565,32
UEI-IMD-FL-2013-0064,2013-03-29,2013-03-31,3.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,"i) Thousands of Banana plantations,other crops uprooted. ii) Loss worth lakhs rupees reported.",IMD,,567,32
UEI-IMD-FL-2013-0065,2013-04-26,2013-04-28,3.0,heavy rains,,Wayanad,Kerala,,,,,,2.0,,,2 persons injured.,"i) Acres of banana plantations, paddy,vegetables damaged. ii) Damage to several houses reported. iii) Trees uprooted causing disruption in road traffic,power supply reported.",IMD,,567,32
UEI-IMD-FL-2013-0066,2013-05-03,2013-05-07,5.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,"i) Damage to thousands of banana, rubber,mango plantations reported. ii) Number of villages inundated.",IMD,,567,32
UEI-IMD-FL-2013-0067,2013-05-05,2013-05-05,1.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,,,,,,i) Several villages inundated. ii) Few houses damaged. iii) Many trees including rubber plantations uprooted. iv) Mango orchards completely damaged. v) Cattle sheds inundated. vi) Loss worth 3.5 crore rupees reported.,IMD,,565,32
UEI-IMD-FL-2013-0068,2013-06-02,2013-06-06,5.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,,,,,,"i) Extensive damage to banana, rubber, coconut reported. ii) Few houses partially damaged.",IMD,,565,32
UEI-IMD-FL-2013-0069,2013-06-08,2013-06-08,1.0,heavy rains,,"Thiruvananthapuram,Thrissur",Kerala,,,,,,1.0,,,One person injured.,"Thiruvananthapuram : i) Several crops submerged. ii) About 300 houses submerged,more than 100 houses damaged. iii) Around 150 people shifted relief camps. iv) Several trees uprooted,fell over several buildings, houses, roads causing disruption in traffic,power supply. Thrissur: i) More than 80 houses partially damaged. ii) Several houses flooded. iii) People shifted to relief camps. iv) Number of coconut trees uprooted.",IMD,,"565, 566",32
UEI-IMD-FL-2013-0070,2013-06-08,2013-06-16,9.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,"About 20,500 banana plantations damaged.",IMD,,567,32
UEI-IMD-FL-2013-0071,2013-06-11,2013-06-26,16.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,7.0,,,,"7 persons died,few others injured in different incidences.","i) About 3,000 houses partially,500 completely damaged. ii) Extensive damage to the banana, rubber, bamboo, coconut plantations reported. iii) Several roads/canals/houses flooded. iv) More than 500 people shifted to the relief camps. v) Extensive damage to agricultural crops/land reported. vi) Several cable lines damaged. vii) Many trees/electric poles uprooted causing traffic disruption,also fell over buildings, vehicles causing damage to the property. viii) Massive damage to the house hold articles reported. ix) Number of boats, boat nets,fishing equipments drowned.",IMD,,565,32
UEI-IMD-FL-2013-0072,2013-06-17,2013-06-17,1.0,heavy rains,,Kasaragod,Kerala,,,,,2.0,2.0,,,"2 persons died,2 others injured due to landslide.",Landslide reported.,IMD,,558,32
UEI-IMD-FL-2013-0073,2013-06-24,2013-06-27,4.0,heavy rains,,Kasaragod,Kerala,,,,,,,,,,"i) About 40 houses partially damaged. ii) About 590 people shifted to relief camps. iii) 6 wells collapsed causing a loss of worth Rs. 47,000/-only. iv) Extensive damage to agricultural crops reported. v) Dried bamboo plantations fell across NH roads causing traffic disruption. vi) Madakkal suspension bridge in Kasaragod collapsed.",IMD,,558,32
UEI-IMD-FL-2013-0074,2013-06-25,2013-06-29,5.0,heavy rains,,"Idukki, Ernakulam, Kollam, Kozhikode, Palakkad,Pathanamthitta",Kerala,,,,,2.0,,,,2 persons died due to wall collapse in Pathananthitta while one person died due to landslide in Munnar.,"Ernakulam: i) 16 houses fully,326 houses partially damaged. ii) 3 wells caved in. Kozhikode: iii) 45 houses fully,and 2 partially damaged. iv) 6 boats completely,1 boat partially damaged. v) About 30 boats drowned at Chaliyar coast. Palakkad: i) 12 houses damaged causing a loss of worth Rs. 1.2 lakhs reported. ii) 6.75 hectares of agricultural land damaged causing a loss of worth Rs. 1.32 crores reported. Pathanamthitta: i) Extensive damage to rubber plantations   reported. ii) Punalur-Muvattapuzha State highway submerged causing vehicular disruption.",IMD,,"556, 555, 559, 561, 563, 564",32
UEI-IMD-FL-2013-0075,2013-06-27,2013-06-29,3.0,heavy rains,,Alappuzha,Kerala,,,,,7.0,3.0,,,"7 persons died,3 others drowned.","i) 33 houses fully,633 houses partially damaged causing a loss of worth Rs. 88.89 lakhs. ii) Alappuzha-Changanacherry road inundated causing traffic disruption. iii) About 15 villages inundated. iv) Few houses washed away. v) About 4.5 lakh people shifted in relief camps. vi) More than 200 hectares of paddy fields submerged. vii) About 3,300 hectares of agricultural land affected. causing a loss of worth Rs. 3.8 crore.",IMD,,554,32
UEI-IMD-FL-2013-0076,2013-07-01,2013-07-04,4.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,"Mananthavady Tehsil: i) Landslides reported. ii) One house partially damaged. iii) One well caved in. iv) Many bamboo grooves, rubber trees uprooted causing traffic disruption. v) Niravill bridge submerged. vi) Mainly tribal people,farmers affected. vii) Pollampara bridge damaged as it was submerged. Vythiri Tehsil: i) 56 houses partially,3 houses completely damaged. ii) One well caved in. iii) 257 families shifted to 16 relief camps. iv) Rs. 7.89 lakhs worth loss reported.",IMD,,567,32
UEI-IMD-FL-2013-0077,2013-07-05,2013-07-12,8.0,heavy rains,,"Idukki,Thiruvananthapuram",Kerala,,,,,,2.0,,,i) 2 persons injured in Maruthankuzhy area as a tree fell over them. ii) Few livestock perished.,"Cheruthoni town in Idukki: i) Landslide reported. ii) 5 acres of standing crops washed away. Thiruvananthapuram: i) A tree fell over a house damaging it in Killimanoor town. ii) A tree fell over electric cable lines disrupting power supply. iii) Acacia, Jackfruit, coconut, rubber, teak trees uprooted fell over a transformer, one house,a shop compound wall, damaging/collapsing the structures,also damaging some vehicles. iv) Several trees uprooted fell over NH road disrupting traffic,damaging a temple, a school building,a cattle-shed. v) A well caved in. vi) Taluka hospital of Chrayankeezhu damaged as a tree fell over it. vii) Few houses damaged.",IMD,,"556, 565",32
UEI-IMD-FL-2013-0078,2013-07-11,2013-07-11,1.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,"Mananthavady Tehsil: 1,90,000 banana plantations damaged. 8 hectares of ginger, 5 hectares of yam, 1118 arecanut trees, 336 rubber trees, 1.5 acres of paddy damaged causing Rs.2 crores worth loss reported.",IMD,,567,32
UEI-IMD-FL-2013-0079,2013-07-11,2013-07-13,3.0,heavy rains,,"Alappuzha, Ernakulam, Kollam,Kottayam",Kerala,,,,,1.0,3.0,,,i) One person drowned in Kuttanad. ii) One person missing as fishing boat capsized in Kollam. iii) A girl drowned at Thiruchandoor. iv) In Ernakulam one person died as he fell into a flooded canal.,"Alappuzha: i) Coconut, banana plantations, tapioca, vegetables damaged. ii) 15,000 houses inundated. iii) About one lakh people shifted in relief camps.",IMD,,"554, 555, 559, 560",32
UEI-IMD-FL-2013-0080,2013-07-19,2013-07-26,8.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,,,,,,"i) 40 houses damaged.ii) Crops,rubber, banana plantations damaged. iii) Jack, teak,coconut trees uprooted. iv) Loss of worth one lakh rupees reported.",IMD,,565,32
UEI-IMD-FL-2013-0081,2013-07-23,2013-07-23,1.0,heavy rains,,Ernakulam,Kerala,,,,,4.0,2.0,,,"4 persons died,2 others injured in a landslide.",,IMD,,555,32
UEI-IMD-FL-2013-0082,2013-07-29,2013-07-29,1.0,heavy rains,,Pathanamthitta,Kerala,,,,,1.0,,,,One person died.,,IMD,,564,32
UEI-IMD-FL-2013-0083,2013-08-01,2013-08-02,2.0,heavy rains,,Wayanad,Kerala,,,,,,2.0,,,2 persons injured in Kalpetta town.,"Taruvana town: i) Thousands of paddy, banana, arecanut, coconut, rubber plantations submerged,damaged. ii) 841.30 ha. of crops damaged. iii) 4 houses partially damaged. Kalpetta town: i) 17 houses completely while 14 houses partially damaged. ii) 361 families shifted to relief camps. Mananthavady Tehsil: i) 18 families with 133 people shifted to relief  camps. ii) Several trees uprooted causing traffic disruption. iii) Cherupuzha bridge submerged. iv) One house damaged fully,other partially. Padinjarathara town:  i) Agricultural crops, worth lakhs rupees damaged. ii) Thousands of banana, paddy, arecanut, coconut plantations submerged. iii) Several families shifted to safer places.",IMD,,567,32
UEI-IMD-FL-2013-0084,2013-08-02,2013-08-06,5.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,,1.0,,,One person injured as tree fell on him in Kilimanoor.,"Kilimanoor, Kallara, Pangode,Chirayankeezhu towns: i) Several rubber, banana, coconut,agricultural crops damaged. ii) Several trees uprooted damaging houses. 60 houses damaged partially in Neyyattinkkara, Nedumangad,Chirayankeezhu tehsils. iii) In Pangode 3 hectares of Mangiyam trees uprooted. iv) Wall of a well caved in. v) Several electric lines damaged in Kadakkavoor,Vakkom areas.",IMD,,565,32
UEI-IMD-FL-2013-0085,2013-08-04,2013-08-08,5.0,heavy rains,,"Alappuzha, Ernakulam,Idukki,",Kerala,,,,,17.0,3.0,,,"Idukki:i) 15 persons died as a mini bus, a jeep,few motor cycles swept away. ii) One person missing,2 injured in landslide.  Kochi: 2 persons died in Kochi.","Alappuzha: i) One house washed away,several houses inundated. ii) About 1.8 lakh people shifted to 183 relief camps. iii) Damage to 1600 acres of agricultural crops reported. Ernakulam: i) Kothamangalam town,Kochi airport runway flooded. ii) Landslide at Blavana Pooyamkutty road reported. iii) About 14,043 people shifted to 121 relief camps. iv) Manikandanchal bridge, Mahadeva temple submerged in Aluva. Idukki: i) About 10 shops buried in landslide. ii) Few houses,buildings collapsed. iii) 240 people shifted to 5 relief camps. iv) Landslide reported near Kulamavu,around 4 acres of land washed away. v) A hill caved down around 600 feet causing damage to agricultural crops. vi) Land caved in,roads blocked causing  road traffic disruption.",IMD,,"554, 555, 556, 603",32
UEI-IMD-FL-2013-0086,2013-08-10,2013-08-16,7.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,i) Landslide reported. ii) Acres of paddy fields damaged. iii) Thalasserry-Mananthavady road completely damaged disrupting vehicular traffic,IMD,,567,32
UEI-IMD-FL-2013-0087,2013-09-01,2013-09-01,1.0,heavy rains,,Idukki,Kerala,,,,,,,,,,i) 15 acres of paddy fields washed away in Mangad. ii) Loss of worth lakh rupees reported.,IMD,,556,32
UEI-IMD-FL-2013-0088,2013-09-12,2013-09-12,1.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,i) Padumutty bridge collapsed. ii) 2 houses damaged partially. iii) Several houses inundated. iv) Landslide reported. v) People shifted to safer places.,IMD,,567,32
UEI-IMD-FL-2013-0089,2013-09-17,2013-09-17,1.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,,3.0,,,3 persons injured.,"i) In Venjaranmood village, a tree fell,broke 11KV electric line causing traffic disruption. ii) Some vehicles damaged.",IMD,,565,32
UEI-IMD-FL-2014-0041,2014-03-07,2014-03-09,3.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,"i) One house damaged completely. ii) More than 100 banana plants uprooted in Athiyoor colony. iii) Several bamboo trees uprooted,fell across the National Highway leading to traffic disruption.",IMD,,567,32
UEI-IMD-FL-2014-0042,2014-03-25,2014-03-25,1.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,"More than 1,000 banana,tapioca plantations uprooted causing damage worth rupees 4 lakhs reported.",IMD,,567,32
UEI-IMD-FL-2014-0043,2014-04-10,2014-04-16,7.0,heavy rains,,"Alappuzha, Kasaragod, Kozhikode, Thiruvananthapuram, Thrissur,Wayanad",Kerala,,,,,6.0,,,,6 persons died including 2 children.,"i) Thousands of banana, rubber,betel-leaves plantations,crops in Neyyattinkara & Katakkada Tehsils damaged. ii) Several electric,electronic equipments damaged. iii) Damage worth rupees lakhs reported. iv) Roofs of several houses blown away. v) 10 houses completely,15 partially damaged. vi) Low lying areas inundated. vii)Several trees/electric poles uprooted causing disruption in vehicular traffic,power supply.",IMD,,"554, 558, 561, 565, 566, 567",32
UEI-IMD-FL-2014-0044,2014-04-19,2014-04-30,12.0,heavy rains,,"Thiruvananthapuram,Wayanad",Kerala,,,,,,,,,,"i) About 10,000 banana plantations in more than 3 acres of land damaged. Jackfruit,mango trees uprooted. ii) Acres of banana, tapioca,coconut plantations damaged. iii) About 100 houses completely,400 partially damaged. iv) About 160 electric poles,more than 50 trees uprooted causing disruption traffic,power supply.",IMD,,"565, 567",32
UEI-IMD-FL-2014-0045,2014-05-03,2014-05-09,7.0,heavy rains,,"Alappuzha, Ernakulam, Kozhikode, Malappuram, Thrissur, Thiruvananthapuram,Wayanad",Kerala,,,,,4.0,20.0,,,"2 persons drowned , 2 persons died as a tree fell on him,3 others injured in Thiruvananthapuram 2 persons drowned in Kozhikode, other in Malappuram as a branch of a tree fell over her,10 others injured. 2 persons died,other injured due to tree fell on them in Wayanad.","Thiruvananthapuram: Varkala town: i) Damage to crops reported. ii) Many electric cable lines,about 15 electric posts damaged. Low tension wires broke causing disruption in power supply. iii) About 70 houses,few structures damaged.Attingal: i) About 32 houses damaged partially. ii) Tapioca, banana, rubber,other crops damaged. iii) About 7.20 lakhs worth rupees damage reported. iv) 11 KV lines broke causing disruption in power supply. Pallichal village: More than 2 lakhs banana plantations damaged.Malayankeezhu village: i) Acres of banana, tapioca, other crops  damaged. ii) Loss worth lakhs rupees reported. iii) Several trees uprooted,roofs of many houses blown away.  Parashala town: 11 KV line with 4 Electric posts uprooted causing disruption in power supply. Sreekaryam & Malayankeezhu: i) Low lying areas flooded. ii) Roof tops of several houses blown away. iii) 2 houses damaged completely  Wayanad: Kalpetta, Mananthavady & Sulthan Bathery towns: i) Extensive damage to about 500 hectares of crops reported. ii) Extensive damage to banana, tapioca,  arecanut plantations reported. iii) More than 5,000 ripe banana crops damaged  causing about 6.5 lakhs damage reported. iv) About 10,000 banana plantations uprooted. v) Several houses completely,partially  damaged. vi) Damage to a transformer reported due to a huge tree fell on it disrupting 11 KV lines at many places. vii)Roofs of many houses blown away. viii)Several trees uprooted causing traffic disruption. Malappuram: About 620 acres of paddy fields sumerged.  Alappuzha: About 800 acres of agricultural land submerged,crops damaged .",IMD,,"554, 555, 561, 562, 566, 565, 567",32
UEI-IMD-FL-2014-0046,2014-06-06,2014-06-06,1.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,About 2000 banana plantations uprooted,IMD,,567,32
UEI-IMD-FL-2014-0047,2014-06-12,2014-06-14,3.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,,,,,,i) Damage to 12 houses reported. ii) People shifted to relief camps.,IMD,,565,32
UEI-IMD-FL-2014-0048,2014-06-21,2014-06-21,1.0,heavy rains,,Idukki,Kerala,,,,,,,,,,"i) Landslide damaged the iron bridge on national highway. ii) Low lying areas,few houses inundated.",IMD,,556,32
UEI-IMD-FL-2014-0049,2014-07-12,2014-07-15,4.0,heavy rains,,"Kannur, Kasaragod, Kozhikode, Malappuram,Wayanad",Kerala,,,,,9.0,2.0,,,"2 persons died,2 others missing in Kannur. 5 persons died in Kasaragod. 2 persons died in Kozhikode. 2 persons died in Malappuram.","Kannur: i) 5 houses damaged completely,41 partially. ii) 11 hectares of standing crops damaged. iii) Agricultural loss rupees 5.4 crores reported. Kasaragod: i) Extensive damage to arecanut, coconut,banana plantations reported. ii) Number of houses damaged.  Kozhikode: i) Low lying areas inundated. ii) Extensive damage to crops in nearly 12 hectares land of rupees 9.4 crores reported. iii) About 14 houses damaged. Malappuram: i) 36 houses destroyed completely,246 partially. ii) Loss of rupees 1.42 crores reported.   Wayanad: Ambalavayal village, Kalpetta, Mananthavady, Pandhaloor,Sulthan Bathery towns: i) Low lying areas,crops submerged. ii) About 32 families shifted to relief camps. iii) Landslide reported. iv) Several trees uprooted disrupting power supply,road traffic. Kozhikode:  Extensive damage to the standing crops,banana, ginger, vegetables crops reported. Thiruvananthapuram:  Few houses damaged.",IMD,,"557, 558, 561, 562, 567",32
UEI-IMD-FL-2014-0050,2014-08-01,2014-08-07,7.0,heavy rains,,"Alappuzha, Kannur, Kasaragod, Kozhikode, Kottayam, Malappuram, Palakkad, Pathanamthitta, Thrissur, Thiruvananthapuram,Wayanad",Kerala,,,,,,,,,"One person died in Alappuzha. 2 persons died,other missing in Idukki. 3 persons died, 2 others drowned,3 others missing in Kasaragod. 2 persons drowned,other missing in Malappuram. 4 persons died in Kottayam. One person died,other drowned in Pathanamthitta. One person died in Thrissur.","Alappuzha: i) Low areas inundated. ii) Vegetable crops submerged. iii) 5 acres of paddy fields submerged. iv) About 50 houses damaged partially. v) 500 families shifted to relief camps. vi) Damage to one school building reported. vii)Extensive damage to school building reported. 2 persons died,other missing while one person drowned in Kannur. Kannur: i) One house damaged completely,25 partially. ii) Landslide reported in Kelakattum & Periyothu areas. iii) About 67 families shifted to relief camps. Kasaragod:  Several houses inundated causing 15 families shifted to relief camps. Kottayam: i) About 4 houses damaged completely,428 partially. ii) Damage worth around rupees 32 lakhs reported. iii) About 127 persons shifted to relief camps.  Wayanad: i) Well caved in Tharuvana town, Mananthavady tehsil. ii) About 41 persons shifted to relief camps.",IMD,,"554, 557, 558, 561, 560, 562, 563, 564, 566, 565, 567",32
UEI-IMD-FL-2014-0051,2014-08-22,2014-08-24,3.0,heavy rains,,"Kottayam, Pathanamthitta, Thiruvananthapuram,Wayanad",Kerala,,,,,4.0,7.0,,,"3 persons died in Pathanamthitta. One person died,7 others missing in Thiruvananthapuram .","Kottayam: i) Damage to about 2 acres crops in Irattupetta, Poojar, Laipally areas reported. ii) 300 mts of Kaduthuruthy-Karikkad Muvattupuzha valley irrigation canal washed away. iii) Landslide reported. iv)Damage to food products in Changanacherry area worth rupees 5 lakhs reported. Pathanamthitta: i) Damage to the crops in more than 300 acres reported. ii) About 175 people shifted to safer places. Thiruvananthapuram: i) Extensive damage to paddy, banana, rubber, tapioca, coconut, vegetables in more than 500 acres of cropland reported. Several trees uprooted causing damage to some structures,disrupting power supply. ii) About 100 acres of standing crops damaged. in Kaaret area. iii) Lanslides reported in Ponmudi-Vithura,Bonakadu areas causing traffic disruption. iv)More than 100 houses damaged causing shifting of about 1500 people to relief camps Wayanad: i) About 300 hectares of banana, coffee, pepper, ginger, vegetables, paddy crops damaged. ii) About 115 families shifted to 6 relief camps. iii) About 20 shops washed away. iv)Landslide in Thamaraserry ghat reported. v)One house completely,25 houses partially damaged. vi)Damage to bridges,canals reported. vii)Damage worth rupees 4.4 crores reported.",IMD,,"560, 564, 565, 567",32
UEI-IMD-FL-2014-0052,2014-09-01,2014-09-03,3.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,,,,,,"i) Damage to the crops reported. ii) Landslides reported. iii) Damage to few houses,some structures reported. iv)House- hold electric appliances damaged. v)About 50 families shifted to safer places. vi)One well caved in at Vengaranmood village.",IMD,,565,32
UEI-IMD-FL-2014-0053,2014-09-26,2014-09-26,1.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,,,,,,"Damage to banana, tapioca, vegetable crops reported.",IMD,,565,32
UEI-IMD-FL-2015-0044,2015-03-03,2015-03-09,7.0,heavy rains,,"Alappuzha, Ernakulam, Kottayam, Malappuram, Thrissur, Pathanamthitta",Kerala,,,,,,,,,,"i)Damage to Paddy fields, vegetable plantations, thousands of Banana crops, Betel-leaves, Tapioca, Yam, Nutmeg Coconut trees, fruit crops etc. reported ii)Roof of Co-operative bank building,a school building blown away causing damage to all files in the staff-room iii)Rice sacks kept for afternoon meals for school children extensively damaged in Pathanamthitta District iv)Damage to several houses reported v)Several trees / electric poles uprooted causing disruption in telecommunication services vehicular traffic,power supply",IMD,,"554, 555, 560, 562, 566, 564",32
UEI-IMD-FL-2015-0045,2015-03-13,2015-03-17,5.0,heavy rains,,"Alappuzha, Kottayam, Thrissur, Thiruvananthapuram",Kerala,,,,,,3.0,,,3 persons injured in Thiruvananthapuram,"i)Damage to thousands of Banana crops, vegetable plantation,Coconut , Teak, Jackfruit, Nutmeg trees reported ii)Damage to several houses reported iii)Boat capsized causing damage to several fishing equipments. In Alappuzha District iv)Rs.12 lakhs worth damage reported v)Several trees / electric poles uprooted causing disruption in telecommunication servies vehicular traffic,power supply vi)Several electric cable lines damaged completely",IMD,,"554, 560, 566, 565",32
UEI-IMD-FL-2015-0046,2015-03-27,2015-03-31,5.0,heavy rains,,"Alappuzha, Pathanamthitta",Kerala,,,,,,,,,,"i)Damage to around 3,500 Banana plantation uprooted. Damage to Tapioca, Bitter gaud crops,Cashew, Jackfruit, Peepal trees reported ii)Damage to 3 acres of cultivation land,Gingily crops reported iii)Several road side trees uprooted causing disruption in vehicular traffic iv)Several electric cable lines damaged causing disruption in power supply v)Damage to worth Rs.15 lakhs according to Agriculture Department reported vi)Partial damage to 58 houses in Haripad town reported",IMD,,"554, 564",32
UEI-IMD-FL-2015-0047,2015-04-06,2015-04-10,5.0,heavy rains,,"Alappuzha, Ernakulam, Palakkad, Idukki, Kollam",Kerala,,,,,1.0,,,,1 person injured,"i)Damage to 250 acres of Paddy crops, 500 Banana plantation, vegetables,Gingili crops reported ii)Damage to worth Rs.30,000",IMD,,"554, 555, 563, 556, 559",32
UEI-IMD-FL-2015-0048,2015-04-11,2015-04-16,6.0,heavy rains,,"Ernakulam, Idukki, Kollam, Kozhikode, Malappuram, Pathanamthitta, Thiruvananthapuram, Wayanad",Kerala,,,,,5.0,,,,5 persons injured,"i)Damage to more than 12,000 Banana plantation, more than 350 acres of vegetable cultivation,Teak, Rubber trees reported ii)Damage to several houses reported iii)Approx Rs. 8 lakhs worth damage reported iv)Several trees uprooted,fell across the road causing damage to small vendors ad traffic disruption",IMD,,"555, 556, 559, 561, 562, 564, 565, 567",32
UEI-IMD-FL-2015-0049,2015-04-19,2015-04-25,7.0,,,"Alappuzha, Idukki, Kasaragod, Kannur, Malappuram, Palakkad, Pathanamthitta, Thiruvananthapuram",Kerala,,,,,1.0,13.0,,,"2 persons injured in Idukki District, 3 persons injured in Kannur District due to wall collapsed, 1 person injured in Malappuram district, 2 persons injured in Palakkad District, 1 person died,5 persons seriously injured in Thiruvananthapuram District","ALAPPUZHA : i)Vegetable crops e.g. Beans, Pumkin, Cucumber submerged ii)Alappuzha - Kottayam Pathanamthitta road traffic disrupted iii)Several areas submerged iv)Low-lying areas flooded IDUKKI : i)Severe damage to Agriculture crops including Rubber Teak, Banana, Arecanut, Cardamon,Coconut reported ii)Damage to 3 houses fully,4 houses partially reported KASARAGOD : i)Damage to 50 houses fully,20 houses partially reported ii)Damage to 15,000 Banana plantation, Rubber, Nutmeg, Coconut,more than 100 acres of agriculture crops reported iii)Loss worth crores as per Krishi Bhavan authorities reported KANNUR : Damage to Banana,vegetable crops reported MALAPPURAM : i)Damage to 100 acres of agricultural land,2220 Banana plantation reported ii)Loss worth lakhs rupees reported iii)Several trees including 25 Coconut, Arecanuts uprooted PALAKKAD : i)Damage to more than 10,000 Banana crops reported ii)Damage to more than 20 houses reported iii)Rs.1.5 crores worth damage estimated iv)Several trees, 25 electric poles uprooted causing disruption in vehicular traffic an power supply PATHANAMTHITTA : i)Damage to 20 acres of agricultural land reported ii)15 shops inundated iii)Damage to several vehicles, computers,motors of different shops reported THIRUVANANTHAPURAM : i)Extensive damage to agricultural crops Banana, Tapioca, vegetable in Meenmootil, Vamanapuram, Nelimood, Neyyattinkara, Vellarada etc. reported ii)City area, Coastal areas, low-lying areas,several houses in Poovar, Kanjiramkulam, Pulluvilla,Vanjiyoor police station station flooded iii)Damage to about one hundred houses reported iv)Damage to Thycaud-Women,child hospital reported v)Several trees/electric poles uprooted causing disruption in telecommunication services vehicular traffic,power supply vi)Loss worth lakhs of rupees reported",IMD,,"554, 556, 558, 557, 562, 563, 564, 565",32
