UEI,Start Date,End Date,Duration(Days),Main Cause,District
UEI-IMD-FL-1992-0027,1992-07-02,1992-07-02,1.0,heavy rains,Thrissur
UEI-IMD-FL-1992-0027,1992-07-02,1992-07-02,1.0,heavy rains,Idukki
UEI-IMD-FL-1992-0027,1992-07-02,1992-07-02,1.0,heavy rains,Ernakulam
UEI-IMD-FL-1992-0027,1992-07-02,1992-07-02,1.0,heavy rains,Alappuzha
UEI-IMD-FL-1992-0027,1992-07-02,1992-07-02,1.0,heavy rains,Kottayam
UEI-IMD-FL-1992-0027,1992-07-02,1992-07-02,1.0,heavy rains,Pathanamthitta
UEI-IMD-FL-1992-0027,1992-07-02,1992-07-02,1.0,heavy rains,Kollam
UEI-IMD-FL-1992-0027,1992-07-02,1992-07-02,1.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1992-0027,1992-07-02,1992-07-02,1.0,heavy rains,Kannur
UEI-IMD-FL-1992-0028,1992-07-16,1992-07-16,1.0,heavy rains,Alappuzha
UEI-IMD-FL-1992-0028,1992-07-16,1992-07-16,1.0,heavy rains,Kollam
UEI-IMD-FL-1992-0029,1992-07-27,1992-07-28,2.0,heavy rains,Ernakulam
UEI-IMD-FL-1992-0030,1992-07-28,1992-07-28,1.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1992-0031,1992-07-31,1992-07-31,1.0,heavy rains,Kollam
UEI-IMD-FL-1992-0032,1992-08-02,1992-08-02,1.0,heavy rains,Kollam
UEI-IMD-FL-1992-0033,1992-08-08,1992-08-08,1.0,heavy rains,Kollam
UEI-IMD-FL-1992-0033,1992-08-08,1992-08-08,1.0,heavy rains,Kozhikode
UEI-IMD-FL-1992-0034,1992-10-10,1992-10-11,2.0,heavy rains,Alappuzha
UEI-IMD-FL-1992-0034,1992-10-10,1992-10-11,2.0,heavy rains,Kollam
UEI-IMD-FL-1992-0034,1992-10-10,1992-10-11,2.0,heavy rains,Pathanamthitta
UEI-IMD-FL-1992-0034,1992-10-10,1992-10-11,2.0,heavy rains,Thiruvananthapuram
